Stem_endosphere,Shannon,Development stage,Anova
CK,1.329528147,Seedling,CK_m
CK,1.824854976,Seedling,CK_m
CK,1.901656072,Seedling,CK_m
CK,1.967958949,Seedling,CK_m
Xs,2.974529792,Seedling,Xs_m
Xs,2.1056571,Seedling,Xs_m
Xs,3.279559831,Seedling,Xs_m
CK,2.989218127,Tillering,CK_f
CK,3.347560352,Tillering,CK_f
CK,2.470771829,Tillering,CK_f
CK,2.445801228,Tillering,CK_f
Xs,2.75870005,Tillering,Xs_f
Xs,2.481371533,Tillering,Xs_f
Xs,0.420647938,Tillering,Xs_f
Xs,1.262413629,Tillering,Xs_f
CK,3.946730358,Booting,CK_y
CK,3.282427632,Booting,CK_y
CK,3.73958205,Booting,CK_y
CK,3.633676808,Booting,CK_y
CK,3.051154412,Booting,CK_y
CK,2.499282074,Booting,CK_y
Xs,3.342201903,Booting,Xs_y
Xs,2.931722177,Booting,Xs_y
Xs,2.455039701,Booting,Xs_y
Xs,2.899797763,Booting,Xs_y
Xs,2.607635677,Booting,Xs_y
Xs,2.966441586,Booting,Xs_y
CK,1.235501332,Maturity,CK_c
CK,1.344989233,Maturity,CK_c
CK,2.03278822,Maturity,CK_c
CK,2.275328568,Maturity,CK_c
CK,1.91592841,Maturity,CK_c
CK,1.429422692,Maturity,CK_c
Xs,2.163624402,Maturity,Xs_c
Xs,1.707983868,Maturity,Xs_c
Xs,2.259705112,Maturity,Xs_c
Xs,2.760431513,Maturity,Xs_c
Xs,1.157684492,Maturity,Xs_c
Xs,1.760074564,Maturity,Xs_c
